title,average_score,num_scores
35 sai no Koukousei,8.254098360655737,183
Life is Beautiful,8.253521126760564,71
Ugly Duckling Series: Perfect Match,8.252840909090908,176
Unforgettable,8.252777777777778,180
Himizu,8.25206611570248,121
Hear Me,8.25201072386059,373
Remember – War of the Son,8.251445086705202,346
Aoi Honoo,8.25,26
Assassination,8.25,60
Library Wars: Book Of Memories,8.25,36
Bomi's Room,8.25,54
Romance in the Rain,8.25,38
The Murder of Snow White,8.244525547445255,137
Kyo no Hi wa Sayonara,8.242857142857142,35
The Queen's Classroom,8.242738589211617,241
37.5°C no Namida,8.241071428571429,56
"Smile, You",8.239417989417989,378
Classic,8.235294117647058,527
Jejoongwon,8.234375,32
Koshonin,8.233333333333333,45
Witch's Romance,8.232524964336662,701
Memories of Murder,8.228494623655914,186
The Gifted Hands,8.227383863080684,409
Who Are You: School 2015,8.22665916760405,889
Montage,8.226415094339623,106
The Longest Night in Shanghai,8.225806451612904,31
Drama Special 2014: Monster,8.225806451612904,31
The Vigilantes in Masks,8.225806451612904,93
Kagi no Kakatta Heya,8.225247524752476,202
Osozaki no Himawari,8.225,100
Nobody Knows,8.224598930481283,187
Kisarazu Cat's Eye,8.224489795918368,98
The Three Musketeers,8.223880597014926,268
Missing You,8.22145144076841,937
Tumbling,8.221333333333334,375
My Love Eun Dong: The Beginning,8.221153846153847,104
Hormones,8.220472440944881,127
Unexpected You,8.220183486238533,109
IRIS,8.219789842381786,571
Trick 3,8.217948717948717,39
"I'm Sorry, I Love You",8.216417910447761,402
Yuuki,8.215384615384615,195
Gokusen,8.214425907752698,1019
3-Iron,8.214285714285714,406
Dream High,8.214285714285714,1911
Mood of the Day,8.213675213675213,234
Princess Pearl II,8.212962962962964,54
Reply 1994,8.211482558139535,688
I Love You As A Man: Part 2,8.210526315789474,38
Schemes of a Beauty,8.209677419354838,31
Top Secret Wairoon Pun Lan,8.209677419354838,31
A Barefoot Dream,8.208333333333334,36
Sutekina Sen Taxi,8.206521739130435,46
In Time With You,8.205374280230327,521
Wannueng Jaa Pben Superstar,8.204761904761904,105
It Started with a Kiss,8.204058624577227,887
Little Forest: Summer & Autumn,8.202702702702704,37
